2026-06-30 11:14:43 | INFO     | rag.loader | Loading PDF: ateension all you need.pdf
2026-06-30 11:14:49 | INFO     | rag.loader | Loaded 15 pages from ateension all you need.pdf
2026-06-30 11:14:49 | INFO     | rag.loader | Loading PDF: bert.pdf
2026-06-30 11:14:53 | INFO     | rag.loader | Loaded 16 pages from bert.pdf
2026-06-30 11:14:53 | INFO     | rag.cleaner | Cleaning 31 pages
2026-06-30 11:14:53 | INFO     | rag.cleaner | After cleaning: 31 pages
2026-06-30 11:14:53 | INFO     | rag.chunker | Generated 123 chunks from 31 pages
2026-06-30 11:14:53 | INFO     | rag.embeddings | Generating embeddings for 123 texts
2026-06-30 11:15:14 | INFO     | rag.pipeline | Ingesting 2 files
2026-06-30 11:15:14 | INFO     | rag.loader | Loading PDF: ateension all you need.pdf
2026-06-30 11:15:19 | INFO     | rag.loader | Loaded 15 pages from ateension all you need.pdf
2026-06-30 11:15:19 | INFO     | rag.loader | Loading PDF: bert.pdf
2026-06-30 11:15:22 | INFO     | rag.loader | Loaded 16 pages from bert.pdf
2026-06-30 11:15:22 | INFO     | rag.cleaner | Cleaning 31 pages
2026-06-30 11:15:22 | INFO     | rag.cleaner | After cleaning: 31 pages
2026-06-30 11:15:22 | INFO     | rag.chunker | Generated 123 chunks from 31 pages
2026-06-30 11:15:22 | INFO     | rag.embeddings | Generating embeddings for 123 texts
2026-06-30 11:18:53 | INFO     | rag.pipeline | Ingesting 2 files
2026-06-30 11:18:53 | INFO     | rag.loader | Loading PDF: ateension all you need.pdf
2026-06-30 11:18:57 | INFO     | rag.loader | Loaded 15 pages from ateension all you need.pdf
2026-06-30 11:18:57 | INFO     | rag.loader | Loading PDF: bert.pdf
2026-06-30 11:19:02 | INFO     | rag.loader | Loaded 16 pages from bert.pdf
2026-06-30 11:19:02 | INFO     | rag.cleaner | Cleaning 31 pages
2026-06-30 11:19:02 | INFO     | rag.cleaner | After cleaning: 31 pages
2026-06-30 11:19:02 | INFO     | rag.chunker | Generated 123 chunks from 31 pages
2026-06-30 11:19:02 | INFO     | rag.embeddings | Generating embeddings for 123 texts
2026-06-30 11:24:40 | INFO     | rag.vectordb | Added 123 chunks to vector store
2026-06-30 11:24:40 | INFO     | rag.pipeline | Ingestion complete: 123 chunks stored
2026-06-30 11:25:03 | INFO     | rag.pipeline | Processing query: give me the differce between two pdfs
2026-06-30 11:25:05 | INFO     | rag.reranker | MMR reranked 20 results to 8
2026-06-30 11:25:05 | INFO     | rag.retriever | Retrieved 8 chunks after compression
2026-06-30 11:25:05 | INFO     | rag.llm | Generating LLM response
2026-06-30 11:25:10 | WARNING  | rag.llm | LLM call failed (attempt 1), retrying...
2026-06-30 11:25:12 | INFO     | rag.llm | Generating LLM response
2026-06-30 11:26:29 | INFO     | rag.llm | LLM response received (tokens: I=2079 O=1532)
2026-06-30 12:42:28 | INFO     | rag.embeddings | Initializing Ollama embeddings: model=mxbai-embed-large:latest url=http://localhost:11434
2026-06-30 12:42:29 | INFO     | rag.vectordb | Loaded vector store with 123 entries
2026-06-30 12:42:42 | INFO     | rag.pipeline | Ingesting 2 files
2026-06-30 12:42:42 | INFO     | rag.loader | Loading PDF: ateension all you need.pdf
2026-06-30 12:42:47 | INFO     | rag.loader | Loaded 15 pages from ateension all you need.pdf
2026-06-30 12:42:47 | INFO     | rag.loader | Loading PDF: bert.pdf
2026-06-30 12:42:52 | INFO     | rag.loader | Loaded 16 pages from bert.pdf
2026-06-30 12:42:52 | INFO     | rag.cleaner | Cleaning 31 pages
2026-06-30 12:42:52 | INFO     | rag.cleaner | After cleaning: 31 pages
2026-06-30 12:42:52 | INFO     | rag.chunker | Generated 123 chunks from 31 pages
2026-06-30 12:42:52 | INFO     | rag.embeddings | Generating embeddings for 123 texts
2026-06-30 12:46:40 | INFO     | rag.vectordb | Added 123 chunks to vector store
2026-06-30 12:46:40 | INFO     | rag.pipeline | Ingestion complete: 246 chunks stored
2026-06-30 12:47:56 | INFO     | rag.pipeline | Processing query: You are evaluating an AI assistant.  Task: 1. Explain why users might attempt pr
2026-06-30 12:47:59 | INFO     | rag.reranker | MMR reranked 20 results to 8
2026-06-30 12:47:59 | INFO     | rag.retriever | Retrieved 8 chunks after compression
2026-06-30 12:47:59 | INFO     | rag.llm | Generating LLM response
2026-06-30 12:48:04 | WARNING  | rag.llm | LLM call failed (attempt 1), retrying...
2026-06-30 12:48:06 | INFO     | rag.llm | Generating LLM response
2026-06-30 12:48:11 | WARNING  | rag.llm | LLM call failed (attempt 2), retrying...
2026-06-30 12:48:13 | INFO     | rag.llm | Generating LLM response
2026-06-30 12:48:45 | INFO     | rag.pipeline | Processing query: You are evaluating an AI assistant.  Task: 1. Explain why users might attempt pr
2026-06-30 12:48:47 | INFO     | rag.reranker | MMR reranked 20 results to 8
2026-06-30 12:48:47 | INFO     | rag.retriever | Retrieved 8 chunks after compression
2026-06-30 12:48:47 | INFO     | rag.llm | Generating LLM response
2026-06-30 12:48:47 | INFO     | rag.pipeline | Processing query: You are evaluating an AI assistant.  Task: 1. Explain why users might attempt pr
2026-06-30 12:48:47 | INFO     | rag.reranker | MMR reranked 20 results to 8
2026-06-30 12:48:47 | INFO     | rag.retriever | Retrieved 8 chunks after compression
2026-06-30 12:48:47 | INFO     | rag.llm | Generating LLM response
2026-06-30 12:48:48 | INFO     | rag.pipeline | Processing query: You are evaluating an AI assistant.  Task: 1. Explain why users might attempt pr
2026-06-30 12:48:49 | INFO     | rag.reranker | MMR reranked 20 results to 8
2026-06-30 12:48:49 | INFO     | rag.retriever | Retrieved 8 chunks after compression
2026-06-30 12:48:49 | INFO     | rag.llm | Generating LLM response
2026-06-30 12:48:49 | INFO     | rag.pipeline | Processing query: You are evaluating an AI assistant.  Task: 1. Explain why users might attempt pr
2026-06-30 12:48:49 | INFO     | rag.reranker | MMR reranked 20 results to 8
2026-06-30 12:48:49 | INFO     | rag.retriever | Retrieved 8 chunks after compression
2026-06-30 12:48:49 | INFO     | rag.llm | Generating LLM response
2026-06-30 12:48:52 | WARNING  | rag.llm | LLM call failed (attempt 1), retrying...
2026-06-30 12:48:54 | INFO     | rag.llm | Generating LLM response
2026-06-30 12:49:32 | INFO     | rag.llm | LLM response received (tokens: I=2630 O=1667)
2026-06-30 12:49:39 | INFO     | rag.llm | LLM response received (tokens: I=2630 O=1314)
